Sun Nov 16 22:59:38 2025    profile_python.prof

         5726277 function calls (5724126 primitive calls) in 9.959 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      106    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      318    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       10    0.000    0.000    0.000    0.000 {built-in method builtins.print}
    106/2    0.000    0.000    1.790    0.895 <frozen importlib._bootstrap>:911(_load_unlocked)
     1948    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      106    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:801(spec_from_file_location)
       95    0.000    0.000    0.441    0.005 <frozen importlib._bootstrap_external>:1182(get_data)
    265/4    0.000    0.000    1.758    0.440 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     1117    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
     95/2    0.000    0.000    1.790    0.895 <frozen importlib._bootstrap_external>:988(exec_module)
        6    0.000    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:36(__init__)
      190    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
   165/20    0.000    0.000    1.516    0.076 <frozen importlib._bootstrap>:1390(_handle_fromlist)
     14/8    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:512(_parse)
       95    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:665(_classify_pyc)
     1309    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      724    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
  235/127    0.000    0.000    0.013    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:378(inner)
      209    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      108    0.000    0.000    0.125    0.001 <frozen importlib._bootstrap_external>:1487(_get_spec)
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:79(__init__)
      967    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
      636    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
    350/4    0.000    0.000    1.519    0.380 {built-in method builtins.__import__}
    85/30    0.000    0.000    0.005    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1248(__getitem__)
     1021    0.000    0.000    0.000    0.000 {method 'getrandbits' of '_random.Random' objects}
       11    0.000    0.000    0.000    0.000 {built-in method _imp.exec_dynamic}
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:82(remove)
     1000    0.000    0.000    0.000    0.000 {method 'bit_length' of 'int' objects}
      285    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
        8    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2745(__new__)
      190    0.000    0.000    0.000    0.000 {built-in method builtins.max}
       66    0.000    0.000    0.004    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:673(Union)
      292    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1159(__getattr__)
      106    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1584(_get_spec)
      108    0.000    0.000    0.126    0.001 <frozen importlib._bootstrap_external>:1516(find_spec)
     1000    0.000    0.000    0.000    0.000 {built-in method _operator.index}
    85/30    0.000    0.000    0.003    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1280(_determine_new_args)
   106/98    0.000    0.000    1.158    0.012 <frozen importlib._bootstrap>:806(module_from_spec)
       25    0.000    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/dtypes.py:30(_add_dtype_helper)
      858    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
       79    0.000    0.000    0.000    0.000 {built-in method numpy.array}
        1    0.000    0.000    0.131    0.131 /home/codespace/.python/current/lib/python3.12/random.py:1(<module>)
        1    0.000    0.000    0.004    0.004 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/numeric.py:1(<module>)
      180    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1130(__init__)
      116    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:317(_deduplicate)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:698(_validate_timestamp_pyc)
      405    0.000    0.000    0.121    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_type_aliases.py:1(<module>)
      106    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:610(_get_cached)
     28/8    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:37(_compile)
      138    0.000    0.000    0.118    0.001 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
       50    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:347(_flatten_literal_params)
      335    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
  419/341    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1239(__hash__)
     1736    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:760(<genexpr>)
      858    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      331    0.000    0.000    0.000    0.000 {built-in method math.exp}
      318    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        1    0.000    0.000    0.025    0.025 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:1(<module>)
    347/1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/__config__.py:19(_cleanup)
      310    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/function_base.py:455(_needs_add_docstring)
        1    0.000    0.000    0.027    0.027 /home/codespace/.python/current/lib/python3.12/ctypes/__init__.py:1(<module>)
        1    0.000    0.000    0.039    0.039 /home/codespace/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:1(<module>)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_check_name_wrapper)
      460    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000    1.234    1.234 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/__init__.py:1(<module>)
        1    0.000    0.000    0.181    0.181 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/fromnumeric.py:1(<module>)
      654    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      359    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      268    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/functools.py:65(wraps)
        1    0.000    0.000    0.006    0.006 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_array_like.py:1(<module>)
       66    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:331(_remove_dups_flatten)
      285    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:445(cb)
      310    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/function_base.py:473(_add_docstring)
        1    0.000    0.000    0.017    0.017 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/__init__.py:1(<module>)
       36    0.000    0.000    0.001    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:113(_float_to_str)
      185    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1465(_path_importer_cache)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(__init__)
      109    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:416(__enter__)
      108    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/_distutils_hack/__init__.py:101(find_spec)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
  557/479    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      549    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1233(__eq__)
      404    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      113    0.000    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/re/__init__.py:280(_compile)
      460    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/_inspect.py:13(ismethod)
      322    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      364    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1699(_get_protocol_attrs)
       84    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      410    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        1    0.000    0.000    0.965    0.965 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/multiarray.py:1(<module>)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      130    0.000    0.000    0.118    0.001 <frozen importlib._bootstrap_external>:159(_path_isfile)
      400    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:166(_type_convert)
       24    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/numerictypes.py:594(_scalar_type_key)
        1    0.000    0.000    0.126    0.126 /home/codespace/.python/current/lib/python3.12/pickle.py:1(<module>)
      318    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      201    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:632(cached)
      239    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:709(<genexpr>)
      190    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       95    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1201(path_stats)
      265    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:107(array_function_dispatch)
      285    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs.py:1(<module>)
      335    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath.add_docstring}
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/_compat_pickle.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
       21    0.000    0.000    0.000    0.000 {built-in method posix.getcwd}
      460    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/_inspect.py:26(isfunction)
      460    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/_inspect.py:41(iscode)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       38    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/collections/__init__.py:429(<genexpr>)
       25    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:72(add_newdoc_for_scalar_type)
       89    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:960(_typevar_subst)
        1    0.000    0.000    0.014    0.014 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/numerictypes.py:1(<module>)
      108    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
        8    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2726(_make_nmtuple)
       62    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1551(__hash__)
        1    0.000    0.000    0.005    0.005 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py:1(<module>)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      109    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:420(__exit__)
       12    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:243(_optimize_charset)
       55    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1371(copy_with)
        1    0.000    0.000    0.213    0.213 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:1(<module>)
      109    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/__init__.py:28(decorator)
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:515(__new__)
       72    0.000    0.000    0.000    0.000 {method 'copy' of 'numpy.ndarray' objects}
      156    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:944(_is_unpacked_typevartuple)
       85    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:307(_unpack_args)
