Sun Nov 16 22:59:38 2025    profile_python.prof

         5726277 function calls (5724126 primitive calls) in 9.959 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/mixins.py:59(NDArrayOperatorsMixin)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1947(__init_subclass__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/platform.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_char_codes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:102(EigResult)
       42    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:103(_float_conv)
      109    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.001    0.001 /home/codespace/.local/lib/python3.12/site-packages/numpy/__init__.py:812(_sanity_check)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/ctypes/_endian.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:386(_mk_bitmap)
      177    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/random.py:110(Random)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/multiarray.py:81(_override___module__)
       56    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1294(exec_module)
        1    0.000    0.000    0.050    0.050 /home/codespace/.local/lib/python3.12/site-packages/numpy/_globals.py:1(<module>)
        1    0.000    0.000    0.003    0.003 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_format_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_stride_tricks_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/function_base.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:500(__prepare__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/matrixlib/defmatrix.py:73(matrix)
       23    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:179(decorator)
      164    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      104    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1581(__eq__)
        1    0.000    0.000    0.214    0.214 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_arraypad_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_iotools.py:452(StringConverter)
        4    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1152(__init__)
       98    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:256(match)
       10    0.000    0.000    0.000    0.000 <frozen abc>:105(__new__)
        1    0.000    0.000    0.132    0.132 /home/codespace/.python/current/lib/python3.12/datetime.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/numbers.py:57(Complex)
       14    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/ctypes/__init__.py:145(_check_size)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:995(_find_data_type_)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/__init__.py:876(hugepage_setup)
       16    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:713(__call__)
       21    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:24(get_array_function_like_doc)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:110(QRResult)
       42    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:84(<genexpr>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1079(_generic_init_subclass)
      8/7    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:436(_get_literal_prefix)
       42    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_nested_sequence.py:1(<module>)
        1    0.000    0.000    0.001    0.001 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/__init__.py:1(<module>)
        1    0.000    0.000    0.002    0.002 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_utils_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_nbit_base.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1819(__init__)
        1    0.000    0.000    0.027    0.027 /home/codespace/.python/current/lib/python3.12/bisect.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1800(__new__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:118(SVDResult)
        1    0.000    0.000    0.004    0.004 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/einsumfunc.py:1(<module>)
       50    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs.py:6629(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:106(EighResult)
       30    0.000    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1543(copy_with)
        1    0.000    0.000    0.132    0.132 /home/codespace/.local/lib/python3.12/site-packages/numpy/matrixlib/__init__.py:1(<module>)
        9    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:837(__setattr__)
       20    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/mixins.py:16(_binary_method)
        1    0.000    0.000    0.036    0.036 /home/codespace/.python/current/lib/python3.12/struct.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:1(<module>)
      117    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
        3    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:698(__init__)
       42    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/pickle.py:401(_Pickler)
        3    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/warnings.py:130(filterwarnings)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_string_helpers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x78458dc49ee0}
       10    0.000    0.000    0.000    0.000 <frozen os>:762(encode)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_polynomial_impl.py:1093(poly1d)
      106    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       13    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/mixins.py:44(_numeric_methods)
       59    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:164(__len__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/numbers.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/linalg/_linalg.py:114(SlogdetResult)
       45    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:293(tell)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_index_tricks_impl.py:326(AxisConcatenator)
       66    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_asarray.py:1(<module>)
       12    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:216(_compile_charset)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_nbit.py:1(<module>)
        2    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
        4    0.000    0.000    0.000    0.000 <frozen os>:680(__getitem__)
        4    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1177(get_filename)
       24    0.000    0.000    0.002    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1242(__or__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
        1    0.000    0.000    0.003    0.003 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/format.py:1(<module>)
        1    0.000    0.000    0.208    0.208 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_machar.py:1(<module>)
       64    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1569(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_iotools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_exceptions.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {built-in method sys.intern}
        8    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:985(create_module)
        2    0.000    0.000    0.000    0.000 {built-in method posix.uname}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/numeric.py:171(ones)
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:1022(_find_new_)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_utils/_inspect.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/warnings.py:181(_add_filter)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_scalars.py:1(<module>)
       10    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:449(_uniq)
       18    0.000    0.000    0.000    0.000 {built-in method _struct.calcsize}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/memmap.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:954(_get_mixins_)
       77    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
       42    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
       13    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:59(_is_sunder)
        7    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:372(_escape)
       29    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       11    0.000    0.000    0.000    0.000 {built-in method fromkeys}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/exceptions.py:1(<module>)
        6    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_nbit_base.py:57(__init_subclass__)
        6    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_exceptions.py:16(_display_as_base)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_ufunclike_impl.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_globals.py:66(_CopyMode)
        1    0.000    0.000    0.005    0.005 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/printoptions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_datasource.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:448(__enter__)
       38    0.000    0.000    0.000    0.000 {method '__contains__' of 'frozenset' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/numbers.py:172(Real)
       22    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_type_aliases.py:118(<lambda>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_distributor_init.py:1(<module>)
       15    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       16    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:1116(__new__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/copy.py:118(deepcopy)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:385(finfo)
       13    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:79(_is_private)
        8    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:231(__init__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:164(_path_isdir)
        1    0.000    0.000    0.000    0.000 {method '__deepcopy__' of 'numpy.ndarray' objects}
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/ctypes/__init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_dtype.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:274(getuntil)
       15    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:398(_simple)
        8    0.000    0.000    0.000    0.000 {method 'removeprefix' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/random.py:135(seed)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_array_utils_impl.py:1(<module>)
        1    0.000    0.000    0.030    0.030 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/scimath.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/ctypes/__init__.py:442(LibraryLoader)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_exceptions.py:108(_ArrayMemoryError)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/ctypes/__init__.py:265(_reset_cache)
        5    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:86(opengroup)
       11    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:48(_is_dunder)
       18    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:20(type_aliases_gen)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_expired_attrs_2_0.py:1(<module>)
       14    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:428(_get_iscased)
        7    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       85    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/_compat_pickle.py:167(<genexpr>)
        9    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:29(finalize_array_function_like)
       11    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1245(__ror__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_array_like.py:36(_SupportsArrayFunc)
       65    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
        5    0.000    0.000    0.000    0.000 {method 'sort' of 'list' objects}
        7    0.000    0.000    0.000    0.000 {built-in method builtins.all}
        2    0.000    0.000    0.000    0.000 <frozen os>:688(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/platform.py:842(uname_result)
       14    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1825(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/version.py:1(<module>)
        4    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
       18    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1044(<genexpr>)
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:376(__init__)
       43    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/_compat_pickle.py:165(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_version.py:13(NumpyVersion)
       26    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:83(groups)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/stride_tricks.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/numbers.py:319(Integral)
        7    0.000    0.000    0.001    0.000 /home/codespace/.python/current/lib/python3.12/re/__init__.py:226(compile)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/random.py:222(__init_subclass__)
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:944(_check_for_existing_members_)
       29    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:113(__init__)
        2    0.000    0.000    0.000    0.000 <frozen os>:694(__delitem__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_npyio_impl.py:115(NpzFile)
        6    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2275(get_origin)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/ctypes/__init__.py:343(__init__)
        1    0.000    0.000    0.001    0.001 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/array_utils.py:1(<module>)
        1    0.000    0.000    0.005    0.005 /home/codespace/.python/current/lib/python3.12/contextvars.py:1(<module>)
       14    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/mixins.py:26(_reflected_binary_method)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_dtype_ctypes.py:1(<module>)
       27    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
        2    0.000    0.000    0.000    0.000 {built-in method numpy._core._multiarray_umath._make_extobj}
       23    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/overrides.py:175(array_function_from_dispatcher)
       16    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:570(isstring)
       24    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2832(<genexpr>)
        2    0.000    0.000    0.000    0.000 {method 'set' of '_contextvars.ContextVar' objects}
     16/7    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 {built-in method posix.putenv}
        1    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_array_api_info.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {built-in method _ctypes.sizeof}
        6    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_internal.py:211(dummy_ctype)
        8    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:953(fix_flags)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:804(get)
        2    0.000    0.000    0.000    0.000 <frozen _collections_abc>:811(__contains__)
        6    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_compiler.py:467(_get_charset_prefix)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:19(numeric_type_aliases)
        5    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_pytesttester.py:75(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/numbers.py:292(Rational)
       10    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_arrayterator_impl.py:1(<module>)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:464(__exit__)
        6    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1053(<genexpr>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_internal.py:262(_ctypes)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_version.py:1(<module>)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/random.py:876(SystemRandom)
        7    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:161(_register_type)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/arrayprint.py:561(decorating_function)
        7    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/npyio.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen _collections_abc>:469(__new__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_datasource.py:532(Repository)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:640(iinfo)
       13    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:70(_is_internal_class)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_function_base_impl.py:2293(vectorize)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/numerictypes.py:626(_register_types)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/__init__.py:163(__getattr__)
        5    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/enum.py:197(__get__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_internal.py:631(_Stream)
       13    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/mixins.py:36(_inplace_binary_method)
        1    0.000    0.000    0.000    0.000 mcsim_psl.py:98(calculate_tail_correction)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.id}
        8    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2811(_namedtuple_mro_entries)
        2    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/copyreg.py:12(pickle)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_pytesttester.py:1(<module>)
        4    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2093(runtime_checkable)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_iotools.py:229(NameValidator)
        8    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:1952(<genexpr>)
        8    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_globals.py:53(__new__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/warnings.py:165(simplefilter)
       12    0.000    0.000    0.000    0.000 {method 'islower' of 'str' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_ufunc.py:1(<module>)
       16    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/typing.py:2751(<genexpr>)
        3    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/__init__.py:893(<genexpr>)
        2    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_ufunc_config.py:438(__init__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/platform.py:794(_Processor)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/arrayprint.py:1451(StructuredVoidFormat)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/lib/_arrayterator_impl.py:16(Arrayterator)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/_add_newdocs_scalars.py:55(_get_platform_and_machine)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/pickle.py:194(_Framer)
        5    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:98(closegroup)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_core/getlimits.py:34(MachArLike)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/random.py:126(__init__)
       18    0.000    0.000    0.000    0.000 {method 'get' of '_contextvars.ContextVar' objects}
       15    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/re/_parser.py:172(__setitem__)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/_typing/_nested_sequence.py:13(_NestedSequence)
        7    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/contextlib.py:272(contextmanager)
        1    0.000    0.000    0.000    0.000 /home/codespace/.python/current/lib/python3.12/copy.py:231(_keep_alive)
        1    0.000    0.000    0.000    0.000 /home/codespace/.local/lib/python3.12/site-packages/numpy/__config__.py:14(DisplayModes)
        2    0.000    0.000    0.000    0.000 {method 'reset' of '_contextvars.ContextVar' objects}
