Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.76     0.00   186463     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      6.76     0.00   186431     0.00     0.00  random_double(double, double)
  0.00      6.76     0.00   186431     0.00     0.00  std::uniform_real_distribution<double>::param_type::b() const
  0.00      6.76     0.00   186431     0.00     0.00  std::uniform_real_distribution<double>::param_type::param_type(double, double)
  0.00      6.76     0.00   186431     0.00     0.00  std::uniform_real_distribution<double>::uniform_real_distribution(double, double)
  0.00      6.76     0.00   186431     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      6.76     0.00   186431     0.00     0.00  double std::uniform_real_distribution<double>::operator()<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul> >(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&, std::uniform_real_distribution<double>::param_type const&)
  0.00      6.76     0.00   186431     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, double>::_Adaptor(std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>&)
  0.00      6.76     0.00   186431     0.00     0.00  std::__detail::_Adaptor<std::linear_congruential_engine<unsigned long, 16807ul, 0ul, 2147483647ul>, double>::operator()()
  0.00      6.76     0.00   100130     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_deallocate(std::array<double, 3ul>*, unsigned long)
  0.00      6.76     0.00   100120     0.00     0.00  std::array<double, 3ul>* std::__niter_base<std::array<double, 3ul>*>(std::array<double, 3ul>*)
  0.00      6.76     0.00   100119     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::array<double, 3ul>*>(std::array<double, 3ul>*, std::array<double, 3ul>*)
  0.00      6.76     0.00   100119     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl::~_Vector_impl()
  0.00      6.76     0.00   100119     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::~_Vector_base()
  0.00      6.76     0.00   100119     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::~vector()
  0.00      6.76     0.00   100119     0.00     0.00  void std::_Destroy<std::array<double, 3ul>*>(std::array<double, 3ul>*, std::array<double, 3ul>*)
  0.00      6.76     0.00   100076     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_get_Tp_allocator() const
  0.00      6.76     0.00   100065     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_allocate(unsigned long)
  0.00      6.76     0.00   100065     0.00     0.00  std::__new_allocator<std::array<double, 3ul> >::deallocate(std::array<double, 3ul>*, unsigned long)
  0.00      6.76     0.00   100065     0.00     0.00  std::__new_allocator<std::array<double, 3ul> >::allocate(unsigned long, void const*)
  0.00      6.76     0.00   100055     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      6.76     0.00   100054     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::end() const
  0.00      6.76     0.00   100054     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::begin() const
  0.00      6.76     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<std::array<double, 3ul> const, std::array<double, 3ul> >(std::array<double, 3ul> const*, std::array<double, 3ul> const*, std::array<double, 3ul>*)
  0.00      6.76     0.00   100054     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl::_Vector_impl(std::allocator<std::array<double, 3ul> > const&)
  0.00      6.76     0.00   100054     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_create_storage(unsigned long)
  0.00      6.76     0.00   100054     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_base(unsigned long, std::allocator<std::array<double, 3ul> > const&)
