Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      6.82     0.00   100119     0.00     0.00  void std::_Destroy_aux<true>::__destroy<std::array<double, 3ul>*>(std::array<double, 3ul>*, std::array<double, 3ul>*)
  0.00      6.82     0.00   100119     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::~_Vector_base()
  0.00      6.82     0.00   100119     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::~vector()
  0.00      6.82     0.00   100119     0.00     0.00  void std::_Destroy<std::array<double, 3ul>*>(std::array<double, 3ul>*, std::array<double, 3ul>*)
  0.00      6.82     0.00   100076     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_get_Tp_allocator() const
  0.00      6.82     0.00   100065     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_M_allocate(unsigned long)
  0.00      6.82     0.00   100065     0.00     0.00  std::__new_allocator<std::array<double, 3ul> >::allocate(unsigned long, void const*)
  0.00      6.82     0.00   100055     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl_data::_Vector_impl_data()
  0.00      6.82     0.00   100054     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::end() const
  0.00      6.82     0.00   100054     0.00     0.00  std::vector<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::begin() const
  0.00      6.82     0.00   100054     0.00     0.00  std::array<double, 3ul>* std::__copy_move<false, true, std::random_access_iterator_tag>::__copy_m<std::array<double, 3ul> const, std::array<double, 3ul> >(std::array<double, 3ul> const*, std::array<double, 3ul> const*, std::array<double, 3ul>*)
  0.00      6.82     0.00   100054     0.00     0.00  std::_Vector_base<std::array<double, 3ul>, std::allocator<std::array<double, 3ul> > >::_Vector_impl::_Vector_impl(std::allocator<std::array<double, 3ul> > const&)
